Sentence,Artistic Process,Best Selling Books,Blueprints Toolkit,Business Models,Discovery Invention,Expert Advice Recommentations,Governance Structure,Health Regimes,Industry Standards,Lifestyle,Operations Manual,Philosopy Values,Production Method,Regulations,Solutions Playbooks,Strategies,Category_Tag,Filename
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
3EXECUTIVE SUMMARY THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES Executive summary
Even before the COVID-19 pandemic, the world was living a learning crisis.",1.751235,24.994662,4.263679,2.938888,12.998155,7.264313,2.264458,2.554572,8.829516,1.635413,1.688618,4.619032,1.462663,15.792844,4.766078,2.175873,Best Selling Books,Executive-Summary.pdf
"Before the 
pandemic, 258 million children and youth of primary- and secondary-school age were out 
of school.1 And low schooling quality meant many who were in school learned too little.",1.029945,17.4803,2.414916,3.467502,16.733267,11.750326,2.103671,8.920399,6.87778,5.852743,1.298697,8.191034,1.790343,7.693165,2.582498,1.813413,Best Selling Books,Executive-Summary.pdf
"The 
Learning Poverty rate in low- and middle-income countries was 53 percent—meaning that over 
half of all 10-year-old children couldn’t read and understand a simple age-appropriate story.2 
Even worse, the crisis was not equally distributed:  the most disadvantaged children and youth 
had the worst access to schooling, highest dropout rates, and the largest learning deficits.3 All 
this means that the world was already far off track for meeting the Sustainable Development 
Goal, which commits all nations to ensure that, among other ambitious targets, “all girls and 
boys complete free, equitable and quality primary and secondary education.”",1.500578,33.431423,3.514151,3.818671,6.178892,9.820977,1.695679,7.743069,8.274218,4.482249,1.038965,6.818265,1.254173,5.218881,2.820724,2.389086,Best Selling Books,Executive-Summary.pdf
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
4THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYThe COVID-19 pandemic now threatens to make education outcomes even worse.",1.420218,20.40235,2.923861,2.519176,6.597372,10.702787,3.044148,3.445138,11.597054,1.763454,1.308947,6.304215,1.434757,18.121528,5.668824,2.746171,Best Selling Books,Executive-Summary.pdf
"The pandemic has 
already had profound impacts on education by closing schools almost everywhere in the planet, in the 
largest simultaneous shock to all education systems in our lifetimes.",1.47737,18.01502,3.362359,3.648559,16.825981,12.199719,2.551123,3.377888,7.024353,2.715773,1.202481,10.107543,1.463484,10.419596,3.434601,2.17415,Best Selling Books,Executive-Summary.pdf
"The damage will become even more 
severe as the health emergency translates into a deep global recession.",2.177941,14.154736,5.112475,5.30196,15.354107,15.952076,1.36782,7.502511,7.799878,1.95436,1.012534,4.691877,2.498501,8.531582,2.875921,3.711721,Expert Advice Recommentations,Executive-Summary.pdf
"These costs of crisis are described 
below.",1.909187,7.546976,5.190746,12.848957,1.92888,10.700758,2.441733,2.342866,10.535942,2.61152,3.574903,7.518657,2.584698,14.95182,6.326326,6.986032,Regulations,Executive-Summary.pdf
"But it is possible to counter those shocks, and to turn crisis into opportunity.",1.395139,6.659445,2.93744,8.815132,4.771851,11.21481,1.7144,2.477832,3.797281,1.656028,1.658467,18.790178,2.806966,5.200673,11.080903,15.023456,Philosopy Values,Executive-Summary.pdf
"The first step is to cope 
successfully with the school closures, by protecting health and safety and doing what they can to prevent 
students' learning loss using remote learning.",0.834338,6.244045,7.497432,2.553101,4.332099,20.004923,2.098378,3.381328,9.121201,3.255546,4.740392,4.631789,2.847177,7.06658,16.150248,5.241423,Expert Advice Recommentations,Executive-Summary.pdf
"At the same time, countries need to start planning for school 
reopening.",1.641155,4.54876,2.514472,4.033454,7.040256,33.109468,3.832679,2.797067,5.404149,2.166414,1.225611,8.494126,3.257238,5.970467,2.73808,11.226604,Expert Advice Recommentations,Executive-Summary.pdf
"That means preventing dropout, ensuring healthy school conditions, and using new techniques to 
promote rapid learning recovery in key areas once students are back in school.",1.123473,3.741994,4.374082,3.035176,3.351154,24.261111,1.741165,12.36333,9.648157,3.935244,2.073776,6.224866,6.772281,5.270896,5.932774,6.150521,Expert Advice Recommentations,Executive-Summary.pdf
"As the school system stabilizes, 
countries can use the focus and innovativeness of the recovery period to “build back better.”",1.51206,4.011105,3.449011,4.433949,5.616098,15.938869,4.834226,3.609445,4.959568,2.522539,1.135653,18.037482,8.376093,6.780873,3.900425,10.882603,Philosopy Values,Executive-Summary.pdf
"The key:  don’t 
replicate the failures of the pre-COVID systems, but instead build toward improved systems and accelerated 
learning for all students.",1.679264,6.645538,2.777423,5.267318,10.834612,16.94905,1.582223,3.812473,11.284945,2.059558,3.105071,7.85256,7.377145,8.246799,5.048281,5.477741,Expert Advice Recommentations,Executive-Summary.pdf
"Unprecedented global shocks to education
The twin shocks of school closures and global recession could have long-term costs to education and 
development, if governments do not move quickly to counter them.",1.320707,15.881527,3.209693,4.668416,6.675538,15.120533,2.877126,4.187936,9.220901,2.09901,1.161414,9.369372,2.175269,12.194099,4.419283,5.419174,Best Selling Books,Executive-Summary.pdf
"The school closings shock will lead to 
learning loss, increased dropouts, and higher inequality; the economic shock will exacerbate the damage, by 
depressing education demand and supply as it harms households; and together, they will exact long-run costs 
on human capital accumulation, development prospects, and welfare.",1.590449,22.209037,2.73817,6.308111,4.103941,10.177165,1.68752,5.853315,5.169821,1.888998,1.699539,18.853626,2.415018,7.061161,4.017643,4.226485,Best Selling Books,Executive-Summary.pdf
"Figure 1.1: Shocks to education
School
closures
Economic
crisis
Long-run
costsDirect 
education 
costs
Health 
and safety 
impacts
Education 
demand 
side
Education 
supply side• Learning stalls
• Learning inequality increases
• Attachment to schooling falls
• Student nutrition worsens
• Student mental health declines
• Student vulnerability increases
• Dropout rate increases, especially for disadvantaged
• Child labor, child marriage, transactional sex increase
• Education investment by parents declines
• Government spending on education falls
• Quality of education declines
• Teaching quality declines
• Private schools close
• Learning Poverty Increases
• Human capital declines
• Overall poverty increases (due to dropout)
• Inequality increases
• Social unrest increases
• Intergenerational cycle of poverty and low human capital is reinforcedPHOTO BY: © AISHA FAQUIR/WORLD BANK
5EXECUTIVE SUMMARY THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES School closures:  As of late April, schools have closed in 180 countries, and 85% of students worldwide are 
out of school.4 Without aggressive policy action, this will have immediate costs on both learning and health 
of children and youth: 
 ∞Learning will decline and dropouts will increase, especially among the most disadvantaged.",1.28408,11.471054,4.495454,5.200165,3.530779,14.116903,2.661836,3.886938,9.912136,2.629232,2.425861,12.688909,1.667626,11.236601,7.201444,5.590984,Expert Advice Recommentations,Executive-Summary.pdf
"Students 
will largely stop learning academic subjects, and the decline may be greater for preschool-age children, 
whose families are less likely to prioritize their learning during school closures.",2.562166,15.697017,2.059641,3.001921,3.292752,28.411629,1.731832,8.829633,4.359434,4.534981,2.240284,9.480023,2.675507,4.532844,3.935031,2.655305,Expert Advice Recommentations,Executive-Summary.pdf
"Learning inequality will 
increase, because only students from wealthier and more educated families will have the support to learn at 
home.",1.081456,6.332991,2.188889,3.647222,3.981351,19.284723,1.675012,15.789519,4.279043,8.741522,0.595691,24.100213,2.138416,2.921113,1.43415,1.808689,Philosopy Values,Executive-Summary.pdf
"Finally, dropout risk will rise, as the lack of encouragement from teachers reduces the attachment 
to schooling for marginal students.",1.136506,9.889326,2.176439,3.486067,1.998017,28.732508,1.77075,8.183333,4.963744,3.246076,1.210361,17.436927,2.294751,5.140261,4.772905,3.562029,Expert Advice Recommentations,Executive-Summary.pdf
"∞Health and safety will also suffer, without the support and structure that schools provide.",0.901195,7.280472,5.914503,3.302262,2.212309,13.241521,2.921927,8.942895,17.748878,5.579146,3.321962,6.926432,2.065418,8.708796,6.879067,4.053217,Industry Standards,Executive-Summary.pdf
"Student nu -
trition and physical health will be compromised, because some 368 million children worldwide rely on 
school feeding programs.",1.678972,6.244978,2.729446,4.987378,8.206952,10.391988,2.036553,17.284941,5.927952,6.206545,1.8415,9.626774,4.097371,13.330219,2.826987,2.581443,Health Regimes,Executive-Summary.pdf
"Students’ mental health may also suffer, due to isolation during social distancing 
and the traumatic effects of the crisis on families.",1.34384,24.82715,1.83715,3.910809,1.646697,9.527038,3.246319,3.508289,3.980702,5.714993,0.870926,30.108405,1.070556,3.309961,3.197161,1.900003,Philosopy Values,Executive-Summary.pdf
"Youth out of school may engage in more risky behavior, 
and adolescent fertility may increase.",1.639469,12.922142,3.394932,5.533511,3.317348,13.487855,2.222835,7.043696,3.826268,8.523355,1.176204,21.110958,2.772527,7.053925,2.330063,3.644912,Philosopy Values,Executive-Summary.pdf
"Economic shock:   The IMF projects that the global economy will shrink 3 percent in 2020, a much bigger 
drop than during the global financial crisis of 2008-09.5 This shock will have severe consequences for both 
governments and households, and it will hit both the demand for and supply of education:
 ∞Student dropout will rise,  with many students leaving schooling forever, and the higher dropout will be 
concentrated in disadvantaged groups.",1.228686,8.568681,1.991583,8.676614,5.421225,11.935014,1.372065,5.939203,11.169797,2.794691,1.12724,9.031983,2.349022,19.675291,3.075276,5.643629,Regulations,Executive-Summary.pdf
"When schools reopened after the Ebola crisis cost nearly an entire 
academic year in Sierra Leone, girls were 16 percentage points less likely to be in school.",1.449762,23.337359,2.895174,5.109962,4.945367,13.706378,2.056927,4.474386,11.480178,2.543214,1.84599,8.929802,3.247199,8.193263,2.818772,2.966266,Best Selling Books,Executive-Summary.pdf
"Higher dropout 
will likely be accompanied by increased child labor and child marriage for children and adolescents.",1.289358,9.385502,2.227341,6.066284,4.060901,22.258432,1.976421,9.190645,4.216697,4.885416,1.026619,17.213686,4.275044,6.024266,2.70648,3.196908,Expert Advice Recommentations,Executive-Summary.pdf
"∞Learning will suffer even more, due to economic pressures on households.",1.667919,10.93961,6.417602,6.422571,4.797031,14.938031,1.250365,14.816625,5.523669,7.505754,1.706807,7.591666,3.353272,5.258435,3.083079,4.727564,Expert Advice Recommentations,Executive-Summary.pdf
"Even for students who do not 
drop out, households will be less able to pay for educational inputs—such as books at home or private 
lessons—until the economy recovers.",1.109317,10.012255,2.102431,4.365076,1.812837,13.23305,1.31748,17.915064,3.795743,15.322559,1.51675,13.618002,2.923231,5.515535,3.485318,1.955353,Health Regimes,Executive-Summary.pdf
"And parents may move their children from private to public schools, 
adding pressure and lowering quality in already over-stretched public-school systems.",1.454047,9.357678,3.288697,7.661185,3.571008,17.315983,10.895559,6.779105,5.542648,4.3088,1.217154,9.230956,3.337086,5.957618,4.995029,5.087447,Expert Advice Recommentations,Executive-Summary.pdf
"∞On the supply side, the economic shock will hit schools and teachers.",1.352981,31.207116,2.648211,6.816563,5.172391,9.088886,1.431946,5.013394,4.654732,1.735914,3.143915,7.136722,2.603352,9.407783,4.514278,4.071818,Best Selling Books,Executive-Summary.pdf
"Fiscal pressures will lead to a drop 
in education investments, reducing the resources available to teachers.",4.7252,13.679352,2.486572,4.869191,2.343871,25.059512,2.912939,10.967273,4.44612,2.794844,2.285469,6.680358,3.89321,3.898246,5.92866,3.029182,Expert Advice Recommentations,Executive-Summary.pdf
"And teaching quality will suffer 
(either online or when schools resume), as the health crisis hits some teachers directly, and as others suffer 
from financial pressures due to salary cuts or payment delays.",1.607528,7.862388,2.259317,3.123964,2.186173,50.131931,1.617825,4.219338,4.088987,3.289731,1.451439,6.26694,1.385571,3.339264,5.523843,1.645763,Expert Advice Recommentations,Executive-Summary.pdf
"The lack of student assessments during the 
closures means that teachers will be flying blind on learning as they try to support their students remotely.",2.847484,19.34026,2.086822,2.800262,4.222041,20.379368,2.632438,3.518438,12.321594,2.16428,2.537574,5.046577,4.047398,6.029922,8.114663,1.910878,Expert Advice Recommentations,Executive-Summary.pdf
"Finally, the supply of schooling may contract as a lack of revenue forces private schools out of business.",1.843436,15.035033,2.83953,17.552302,1.978402,8.768058,5.074152,4.809412,6.686634,4.102497,1.817338,7.732393,3.715052,6.502737,5.701845,5.841178,Business Models,Executive-Summary.pdf
"Long-term costs:  Left unchecked, these impacts will exact long-term costs on both students and society.",1.601066,7.572477,1.757942,5.755384,3.459545,21.571905,1.310012,3.692572,5.673342,6.358697,1.068691,24.044604,2.554746,7.336225,2.09016,4.15263,Philosopy Values,Executive-Summary.pdf
"Given the likely increase in learning poverty, this crisis could prevent a whole generation from realizing their 
true potential.",1.52631,20.608897,2.68542,3.131868,4.947362,8.209665,1.023018,10.260402,4.437006,4.855443,0.948006,25.993282,2.271251,3.232292,1.81863,4.051146,Philosopy Values,Executive-Summary.pdf
"Students who are forced to drop out of school or experience significant declines in learning will 
face lower lifetime productivity and earnings.",2.932738,11.207833,2.43596,5.689326,2.473197,12.459292,1.974765,10.55203,4.682265,10.162186,2.122243,13.075121,5.750339,3.27323,6.719563,4.48991,Philosopy Values,Executive-Summary.pdf
"Inequality will rise, because these impacts will likely be greater 
for students from poor and marginalized households.",1.400669,9.035403,1.282337,7.201399,4.588016,10.821545,1.746179,6.681647,5.009679,4.729552,0.610052,37.056994,2.483301,2.450254,2.027815,2.875159,Philosopy Values,Executive-Summary.pdf
"The children who need education the most to climb out 
of poverty will be the ones most likely to be deprived of it by the crisis.",1.343242,27.87287,3.408486,2.993086,2.971064,8.379243,1.777019,10.80611,4.34553,4.596649,1.53667,18.861105,1.952599,2.524236,3.947883,2.684205,Best Selling Books,Executive-Summary.pdf
"This decline in economic prospects 
could lead in turn to increase in criminal activities and risky behaviors.",1.510137,6.065569,2.435028,17.789476,4.143297,9.015229,1.971861,3.602241,2.980976,6.89726,0.739867,15.281195,1.722804,4.150921,4.132031,17.562107,Business Models,Executive-Summary.pdf
"Social unrest among youth could also 
rise: in many low- and middle-income countries the combination of a youth bulge and poor prospects could 
prove a combustible mix.",2.132095,28.49577,2.495997,9.229026,3.313252,10.884574,3.496078,3.628786,2.32639,3.856466,0.538595,17.111227,1.186046,4.009248,2.077632,5.218817,Best Selling Books,Executive-Summary.pdf
"These adverse impacts may reverberate for a long time, as lower human capital in 
the current student cohort—concentrated among the most disadvantaged—perpetuates the vicious cycle of 
poverty and inequality.",1.44709,19.661176,1.659827,7.674001,4.498656,8.969928,1.603461,8.466295,3.843366,5.751713,0.847261,22.374942,2.191279,5.31986,1.948365,3.74278,Philosopy Values,Executive-Summary.pdf
"6THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYFrom crisis to opportunity: Stop the damage, then build back 
better
These severe consequences—and especially the long-term impacts—are not inevitable.",1.439878,12.551866,3.28525,3.166283,3.09438,15.100285,3.052014,1.817078,7.457807,1.87644,1.526502,18.201199,1.831115,14.100489,5.969056,5.530358,Philosopy Values,Executive-Summary.pdf
"There is no doubt 
that there will be significant costs to education, and virtually everything else that societies value, in the short 
term.",1.554852,6.21477,2.774792,4.638747,7.149873,18.946735,1.687217,4.865137,9.051533,3.491682,1.163516,25.919326,2.171114,6.587233,1.473014,2.310458,Philosopy Values,Executive-Summary.pdf
"But if countries move quickly to support continued learning, they can at least partially mitigate the 
damage.",1.019618,2.548839,2.470087,3.034148,5.134421,48.051495,1.32242,4.17039,4.806027,1.518835,1.02896,5.639746,4.585385,7.148311,2.380178,5.141139,Expert Advice Recommentations,Executive-Summary.pdf
"And with the right planning and policies, they can use the crisis as an opportunity to build more 
inclusive, efficient, and resilient education systems.",1.263645,4.469124,3.826516,5.112881,2.747932,18.427368,5.525823,2.721655,10.720953,2.641471,1.381222,15.769355,2.527578,5.848884,7.874906,9.140687,Expert Advice Recommentations,Executive-Summary.pdf
"The policies to turn this around can be grouped in three overlapping phases: Coping, Managing 
Continuity, and Improving and Accelerating learning .",1.241975,2.402057,4.353639,3.960139,2.234081,30.544312,3.83065,2.541614,3.147668,5.427329,1.830826,3.960608,4.142608,3.939652,11.428935,15.013906,Expert Advice Recommentations,Executive-Summary.pdf
"Phase 1: Coping:  For the first phase, as countries cope with sudden school closures, the priority is to 
protect student health and safety and prevent learning loss .",0.844908,8.315979,2.95524,1.920237,2.799289,28.253307,2.291707,2.66279,7.953244,3.085663,2.450531,7.121168,1.593813,15.595769,7.888876,4.267479,Expert Advice Recommentations,Executive-Summary.pdf
"∞In addition to protecting students and families from infection, many countries are putting in place sup-
plemental nutrition or cash transfer programs  to ensure that students who ordinarily depend on school 
feeding programs do not go hungry.",0.655858,5.281971,2.426375,4.518039,2.614087,8.799981,2.12436,29.390945,13.016318,6.065987,1.736297,3.234616,2.995617,11.480433,2.892126,2.766989,Health Regimes,Executive-Summary.pdf
"∞To prevent learning loss, emergency remote-learning programs  have been deployed across the world, 
from Nigeria to Norway.",1.116669,3.885754,10.272941,5.652473,4.140029,17.794575,1.293612,4.877336,19.73186,2.78528,3.091488,1.987181,3.469051,8.326341,8.647108,2.928302,Industry Standards,Executive-Summary.pdf
"The best use platforms (such as TV, radio, and smartphones) that can reach every 
child, regardless of household income.",0.967081,1.407135,8.210575,5.446842,2.149538,42.778555,1.716743,4.158794,7.066533,11.224906,0.671251,4.699148,1.102395,4.211499,1.78515,2.403856,Expert Advice Recommentations,Executive-Summary.pdf
"These inclusive approaches are critical: without explicit policies to 
reach disadvantaged households, only wealthier and more educated families will be able to cope with the 
shock.",0.660343,7.478798,3.427297,3.480165,2.42387,21.739844,2.227636,9.788965,9.23968,10.039646,0.893799,13.509161,2.588205,3.254181,4.606345,4.642064,Expert Advice Recommentations,Executive-Summary.pdf
"∞Beyond providing remote learning, education systems should proactively prevent dropout through com -
munication and targeted financial support for at-risk students .",0.871686,3.713284,2.901879,5.74752,1.496702,32.289802,1.584373,5.94124,12.304927,4.71048,1.572082,5.06696,2.885509,9.719216,4.993632,4.200707,Expert Advice Recommentations,Executive-Summary.pdf
"Outreach to families can also be an im -
portant channel for providing guidance and resources on how best to support children at home while 
schools are closed.",1.08789,4.338319,16.299505,4.460654,1.31677,28.973645,3.771649,2.638182,7.23754,4.393289,1.103528,4.910283,1.56721,2.697357,12.428638,2.775541,Expert Advice Recommentations,Executive-Summary.pdf
"Figure 2.1: The three overlapping phases of the education response
While schools are closed:
• Protect health, safety, and 
nutrition
• Prevent learning loss 
through remote learning
• Draw on tertiary educationAs schools reopen:
• Prevent increase in dropout
• Protect health and safety at 
school
• Prepare for staggered and 
partial reopenings
• Prepare teachers to assess 
learning losses and close 
learning gaps
• Provide adequate ﬁnancing 
for recovery needs, especially 
for disadvantaged studentsThroughout, seize 
opportunities to improve the 
system for the long term:
• Scale up eﬀective 
COVID-response approaches 
(e.g. incorporate remote 
learning, teach at the right 
level, track at-risk students to 
prevent dropout)
• Focus on creating 
build-back-better education 
systems
• Protect and enhance 
education ﬁnancingCopingManaging
continuityImproving and
acceleratingSeize opportunities to make education more inclusive, 
eﬀective, and resilient than it was before the crisis GOAL: 
7EXECUTIVE SUMMARY THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  ∞Finally, countries should draw on their universities and other post-secondary institutions  for technology 
support (for example, to ramp up remote learning), rapid training (such as training of nurses and laboratory 
technicians), and access to global knowledge.",1.61353,9.975495,5.131987,3.226765,3.211033,14.95403,4.806553,4.390227,11.211326,2.167043,3.033263,6.884169,2.493358,11.524947,10.222453,5.15382,Expert Advice Recommentations,Executive-Summary.pdf
"Phase 2: Managing Continuity:  As rules around social distancing are gradually relaxed, systems need to 
ensure that schools reopen safely, student dropout is minimized, and learning recovery starts.",0.958291,5.592412,2.525902,4.518371,1.705219,18.725009,6.90039,2.11108,7.288515,3.696251,2.476268,8.786215,2.595395,10.800707,12.822721,8.497255,Expert Advice Recommentations,Executive-Summary.pdf
"Reopening 
of schools may be a complex process, with staggered openings and possibly cycles of re-closing during flareups.",3.421357,15.698277,3.189698,5.090713,6.907065,15.440508,3.984922,1.975385,4.40099,2.19377,2.085716,7.691149,4.513512,6.636607,5.663754,11.106578,Best Selling Books,Executive-Summary.pdf
"Systems need to start planning for this, learning from the experience of systems like China and Singapore 
that have been through the process.",1.359208,1.470774,4.585181,14.930548,3.739045,8.798354,2.53255,1.21187,5.607069,2.497177,2.432925,2.064187,5.723051,5.400998,7.955545,29.691518,Strategies,Executive-Summary.pdf
"Beyond ensuring healthy schools, much more needs to be done:
 ∞In many low- and middle-income countries, reopening would need to be preceded by reenrollment cam -
paigns  to minimize student dropout.",0.918178,4.639332,1.409068,2.730584,3.171937,46.958683,1.6645,4.69508,4.279185,3.486133,1.163229,8.088919,2.896563,4.611785,3.041867,6.244958,Expert Advice Recommentations,Executive-Summary.pdf
"Groups that may be at higher risk of dropout (such as girls or stu -
dents from marginalized communities) should receive targeted support and communications.",0.675475,3.261477,1.739966,5.848829,1.032617,45.788236,3.007595,3.556665,6.891635,2.759655,0.480532,9.935191,1.148028,5.185577,3.481729,5.206792,Expert Advice Recommentations,Executive-Summary.pdf
"∞Once students are back in school, learning recovery  is a top priority, to prevent permanent impacts on 
the opportunities of children and youth.",1.014323,6.070312,3.712505,2.266474,3.393294,24.643694,1.657326,6.269964,9.16303,3.816243,1.384481,20.758798,2.743617,6.760005,2.735659,3.610276,Expert Advice Recommentations,Executive-Summary.pdf
"This will require a raft of measures targeted at reversing learn -
ing losses, from improved classroom assessment to more focused pedagogies and curriculum (to allow 
teaching at the right post-closures level) to blended use of teaching and technology.",2.429448,3.82649,3.156017,2.691546,2.655889,42.110561,1.796713,4.096967,5.540346,2.106245,2.451301,5.302055,5.30877,3.115593,8.938871,4.473189,Expert Advice Recommentations,Executive-Summary.pdf
"These efforts will 
need clear system-level guidance and materials, as well as focused, practical training for principals and 
teachers.",1.267378,1.58234,14.398569,2.273027,1.838538,30.602565,4.507297,1.442029,6.296482,0.872454,5.181079,1.673888,2.384593,3.280256,19.840785,2.558718,Expert Advice Recommentations,Executive-Summary.pdf
"It will also require substantial resources, meaning that education budgets must be protected, at 
a time when families will be less able to support education at home and the demands on public schools 
might increase.",1.69384,4.035772,5.092696,2.03942,1.474858,39.247517,3.695866,3.96952,8.865626,3.954433,1.138341,7.376387,1.741204,9.917957,2.290825,3.46574,Expert Advice Recommentations,Executive-Summary.pdf
"Phase 3: Improving and Accelerating: The crisis also offers an opportunity to build back educational sys -
tems stronger and more equitable than before.",1.534523,6.363551,4.297863,3.575993,5.292593,16.822008,2.549731,3.413208,12.297186,1.999417,1.589561,12.358395,3.255532,12.309565,5.156892,7.183982,Expert Advice Recommentations,Executive-Summary.pdf
"∞After the pandemic, parents, teachers, mass media, the government, and others will have changed their 
views and perceptions  about their role in the education process.",1.372375,21.029616,2.206306,5.577686,9.455995,15.314957,5.827407,3.830446,4.004329,3.669087,0.822979,10.905551,1.630705,7.154282,4.137378,3.0609,Best Selling Books,Executive-Summary.pdf
"For example, parents will have a better 
understanding of the need to work jointly with the schools to foster the education of their children.",1.311288,3.095063,1.913253,4.342608,2.622373,36.649909,9.535072,3.47913,2.642261,4.7541,0.778563,15.426048,4.381801,1.858105,4.782014,2.428414,Expert Advice Recommentations,Executive-Summary.pdf
"Equity 
gaps will have been made more evident, along with the urgent need to narrow them.",2.019882,6.936184,3.162507,6.682546,6.489906,25.493581,2.032413,4.229733,12.799246,0.882993,1.445171,6.374423,3.907074,6.514639,4.110899,6.918801,Expert Advice Recommentations,Executive-Summary.pdf
