Sentence,Adult,Arts and Entertainment,Autos and Vehicles,Beauty and Fitness,Business and Industrial,Computers and Electronics,Finance,Food and Drink,Games,Health,Hobbies and Leisure,Home and Garden,Internet and Telecom,Jobs and Education,Law and Government,News,Online Communities,People and Society,Pets and Animals,Real Estate,Reference,Science,Sensitive Subjects,Shopping,Sports,Travel,Category_Tag,Filename
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
3EXECUTIVE SUMMARY THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES Executive summary
Even before the COVID-19 pandemic, the world was living a learning crisis.",5.057988,6.206106,1.97789,1.684407,6.222112,4.498944,2.203507,2.445185,2.643907,8.926407,1.397362,1.759489,0.538918,2.560691,2.180614,17.590077,1.524819,5.544802,1.429403,0.431096,2.785326,10.293576,7.898133,0.299547,1.319174,0.580519,News,Executive-Summary.pdf
"Before the 
pandemic, 258 million children and youth of primary- and secondary-school age were out 
of school.1 And low schooling quality meant many who were in school learned too little.",14.31639,4.20184,1.162425,1.273089,2.070607,2.487575,1.976008,2.425427,2.308733,14.061527,1.059859,2.283061,0.669519,2.484034,0.960947,19.741807,0.64915,3.644474,1.197159,0.712235,1.710826,6.372271,10.731405,0.405268,0.736536,0.357827,News,Executive-Summary.pdf
"The 
Learning Poverty rate in low- and middle-income countries was 53 percent—meaning that over 
half of all 10-year-old children couldn’t read and understand a simple age-appropriate story.2 
Even worse, the crisis was not equally distributed:  the most disadvantaged children and youth 
had the worst access to schooling, highest dropout rates, and the largest learning deficits.3 All 
this means that the world was already far off track for meeting the Sustainable Development 
Goal, which commits all nations to ensure that, among other ambitious targets, “all girls and 
boys complete free, equitable and quality primary and secondary education.”",14.527866,4.71313,0.886199,1.389419,3.831437,2.040501,2.924299,1.489059,1.458608,6.459892,1.425601,1.52683,0.634613,3.113626,1.681478,17.997022,1.029107,6.681745,1.459177,0.529931,2.57334,4.207003,15.11107,0.784146,0.824816,0.700084,News,Executive-Summary.pdf
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
4THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYThe COVID-19 pandemic now threatens to make education outcomes even worse.",7.641216,4.179109,1.694951,2.056405,5.422215,3.830228,2.82361,2.457992,1.898009,12.007988,1.118735,1.329505,0.544721,2.578566,1.893223,15.058386,0.893051,4.732153,1.897748,0.523675,1.604271,4.565841,17.698932,0.295447,0.754296,0.499727,Sensitive Subjects,Executive-Summary.pdf
"The pandemic has 
already had profound impacts on education by closing schools almost everywhere in the planet, in the 
largest simultaneous shock to all education systems in our lifetimes.",3.370452,3.982063,1.027637,1.119047,3.891951,2.609712,2.380871,2.087686,1.476297,8.008602,1.071481,1.322845,0.828584,3.427892,1.436746,22.440796,1.090235,6.717174,1.572624,0.828776,2.207271,7.12377,17.679312,0.27958,1.357576,0.661018,News,Executive-Summary.pdf
"The damage will become even more 
severe as the health emergency translates into a deep global recession.",1.06976,2.145286,0.774072,1.09994,3.122724,1.511031,3.397115,2.115608,0.663193,11.13254,0.642564,0.549988,0.570931,0.982017,0.598213,46.406183,0.46011,4.791949,0.672951,0.537313,0.95121,1.519588,11.934991,0.246149,1.694369,0.410208,News,Executive-Summary.pdf
"These costs of crisis are described 
below.",2.404373,1.429507,1.453556,1.213424,8.854355,1.676998,25.339233,1.749516,1.032634,4.913426,1.186883,2.012047,0.70561,2.554667,1.232178,15.674607,0.756375,2.033025,0.465742,0.700404,1.704621,5.974142,12.436414,1.323767,0.43413,0.738367,Finance,Executive-Summary.pdf
"But it is possible to counter those shocks, and to turn crisis into opportunity.",1.986364,2.460145,1.754481,2.658395,4.77896,2.777767,2.410344,2.723637,2.515297,7.783473,1.976546,1.557546,0.754932,2.894086,1.600725,23.595622,1.441195,5.423937,0.883252,0.77097,0.546339,6.491766,18.415556,0.60728,0.703632,0.487756,News,Executive-Summary.pdf
"The first step is to cope 
successfully with the school closures, by protecting health and safety and doing what they can to prevent 
students' learning loss using remote learning.",7.036223,2.201981,1.640512,4.689759,1.711889,3.561903,1.064563,1.547293,2.655754,7.919585,3.366908,1.37241,0.796722,14.139456,1.584053,10.932018,2.171431,4.275928,1.600836,1.561103,0.96415,1.927057,18.473217,0.723363,0.577102,1.504784,Sensitive Subjects,Executive-Summary.pdf
"At the same time, countries need to start planning for school 
reopening.",6.202417,4.021822,1.462577,1.433013,6.4663,3.634265,1.534616,3.186093,1.144501,6.652422,1.66159,2.543684,0.864132,9.279262,2.466351,23.147667,1.313213,4.19282,2.274709,2.646963,2.303572,2.552215,4.701544,1.228483,1.263093,1.822675,News,Executive-Summary.pdf
"That means preventing dropout, ensuring healthy school conditions, and using new techniques to 
promote rapid learning recovery in key areas once students are back in school.",7.726349,2.594364,2.012228,7.474247,1.900484,5.469274,1.423424,2.664519,2.002788,14.495134,2.511676,1.517866,0.935141,5.717598,1.174848,18.36228,1.219561,3.596124,1.779351,1.157428,0.795996,1.433673,8.536847,1.26608,0.713643,1.51908,News,Executive-Summary.pdf
"As the school system stabilizes, 
countries can use the focus and innovativeness of the recovery period to “build back better.”",3.272488,3.036014,2.232802,3.823557,2.885131,5.67743,1.062223,3.296659,0.832604,10.464462,1.167125,2.373164,0.632308,4.686756,1.476507,27.114507,2.122974,7.926234,1.70171,1.050589,0.920531,2.414208,7.103757,0.882914,0.865999,0.97735,News,Executive-Summary.pdf
"The key:  don’t 
replicate the failures of the pre-COVID systems, but instead build toward improved systems and accelerated 
learning for all students.",6.393632,5.043468,3.030787,4.012764,3.75685,10.346779,1.402761,2.273874,3.580083,8.728124,2.368346,1.531202,0.793359,7.936834,1.614705,11.075168,1.935351,5.340519,2.005445,0.589461,0.898018,9.183886,3.833626,0.692945,1.11739,0.514624,News,Executive-Summary.pdf
"Unprecedented global shocks to education
The twin shocks of school closures and global recession could have long-term costs to education and 
development, if governments do not move quickly to counter them.",6.482544,4.316401,1.162707,1.218501,7.803149,1.89875,6.817442,1.903618,1.188063,5.798276,1.069854,0.955069,0.611401,2.991697,2.232056,25.939323,0.716902,5.020267,1.584709,0.651254,1.347802,5.289015,10.535916,0.68444,1.023891,0.756954,News,Executive-Summary.pdf
"The school closings shock will lead to 
learning loss, increased dropouts, and higher inequality; the economic shock will exacerbate the damage, by 
depressing education demand and supply as it harms households; and together, they will exact long-run costs 
on human capital accumulation, development prospects, and welfare.",3.729195,4.395097,1.408623,1.807634,4.48676,2.209894,6.284184,2.001843,1.383103,6.583014,1.15836,1.147528,0.600574,3.320182,1.069816,25.864533,0.570638,4.531388,1.482834,0.976938,0.853089,4.096739,18.082615,0.881883,0.589544,0.483992,News,Executive-Summary.pdf
"Figure 1.1: Shocks to education
School
closures
Economic
crisis
Long-run
costsDirect 
education 
costs
Health 
and safety 
impacts
Education 
demand 
side
Education 
supply side• Learning stalls
• Learning inequality increases
• Attachment to schooling falls
• Student nutrition worsens
• Student mental health declines
• Student vulnerability increases
• Dropout rate increases, especially for disadvantaged
• Child labor, child marriage, transactional sex increase
• Education investment by parents declines
• Government spending on education falls
• Quality of education declines
• Teaching quality declines
• Private schools close
• Learning Poverty Increases
• Human capital declines
• Overall poverty increases (due to dropout)
• Inequality increases
• Social unrest increases
• Intergenerational cycle of poverty and low human capital is reinforcedPHOTO BY: © AISHA FAQUIR/WORLD BANK
5EXECUTIVE SUMMARY THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES School closures:  As of late April, schools have closed in 180 countries, and 85% of students worldwide are 
out of school.4 Without aggressive policy action, this will have immediate costs on both learning and health 
of children and youth: 
 ∞Learning will decline and dropouts will increase, especially among the most disadvantaged.",7.486252,3.239965,1.277531,1.556216,4.477702,2.409464,4.798797,2.770602,1.004962,5.516356,1.296835,1.689436,0.71271,4.272277,1.336592,26.719817,0.644998,4.835225,1.056459,1.068765,1.494732,4.105092,13.740119,0.940893,0.589448,0.958755,News,Executive-Summary.pdf
"Students 
will largely stop learning academic subjects, and the decline may be greater for preschool-age children, 
whose families are less likely to prioritize their learning during school closures.",21.865659,5.760799,1.080044,1.490434,2.423687,3.705509,1.976791,1.393845,2.401401,4.382949,1.513029,2.341637,0.869533,4.768441,1.401398,15.08714,0.664583,2.352716,2.604212,0.756092,1.984873,3.699856,13.004227,1.518897,0.467346,0.484899,Adult,Executive-Summary.pdf
"Learning inequality will 
increase, because only students from wealthier and more educated families will have the support to learn at 
home.",16.471058,2.545375,0.914146,2.038804,1.849425,2.250469,3.510029,1.247711,0.831552,3.871807,2.368139,1.467039,1.101827,5.612989,1.537959,18.117283,1.715003,10.97207,2.765231,2.31773,0.83398,3.498765,7.220711,3.097792,1.13713,0.705974,News,Executive-Summary.pdf
"Finally, dropout risk will rise, as the lack of encouragement from teachers reduces the attachment 
to schooling for marginal students.",9.469861,3.499346,1.357948,3.346673,2.35551,2.744604,3.553082,1.59335,1.850978,8.134791,1.123007,1.416203,0.598924,3.101744,1.191617,28.849306,0.787743,3.277944,3.130408,1.203007,0.762882,2.023855,12.32454,1.456307,0.358929,0.487443,News,Executive-Summary.pdf
"∞Health and safety will also suffer, without the support and structure that schools provide.",6.585442,1.348088,1.122872,2.414885,3.193961,2.699598,2.68528,2.42562,1.345346,20.560019,0.608679,1.07438,0.531804,1.349328,1.416894,5.806939,0.497532,0.971349,1.624836,0.463602,1.045185,2.466852,36.675126,0.425716,0.304883,0.355783,Sensitive Subjects,Executive-Summary.pdf
"Student nu -
trition and physical health will be compromised, because some 368 million children worldwide rely on 
school feeding programs.",6.97813,2.064727,0.67309,3.331575,2.479963,2.05242,2.779304,2.953516,2.07894,11.761803,1.405004,0.799084,1.499804,3.189042,1.838758,8.74936,1.84587,4.371738,1.873097,0.558943,2.508591,6.054837,26.437026,0.563772,0.70258,0.449026,Sensitive Subjects,Executive-Summary.pdf
"Students’ mental health may also suffer, due to isolation during social distancing 
and the traumatic effects of the crisis on families.",3.327512,1.343073,0.45356,0.921004,0.817429,0.90893,0.842885,0.682098,0.926566,2.949795,1.2738,0.70653,0.387343,2.233768,0.478763,4.306465,1.026409,3.023692,0.672631,0.3904,0.490222,1.779933,69.140167,0.195173,0.256104,0.465748,Sensitive Subjects,Executive-Summary.pdf
"Youth out of school may engage in more risky behavior, 
and adolescent fertility may increase.",23.72985,2.933322,1.797826,3.508509,2.335608,2.030661,5.693781,1.873022,3.087254,7.063787,2.599248,1.339101,0.672266,1.481855,0.753388,12.649198,0.849533,2.12707,1.661354,0.961251,0.658987,3.464185,14.824517,0.652828,0.734151,0.51745,Adult,Executive-Summary.pdf
"Economic shock:   The IMF projects that the global economy will shrink 3 percent in 2020, a much bigger 
drop than during the global financial crisis of 2008-09.5 This shock will have severe consequences for both 
governments and households, and it will hit both the demand for and supply of education:
 ∞Student dropout will rise,  with many students leaving schooling forever, and the higher dropout will be 
concentrated in disadvantaged groups.",3.851301,3.778401,1.360999,2.525567,14.563331,2.762886,9.91723,1.941612,0.953254,8.134229,0.912586,1.314834,0.673223,1.33694,1.778502,25.026961,0.507035,3.747239,0.989612,0.727834,1.02771,3.174862,6.935297,0.683725,0.781943,0.592888,News,Executive-Summary.pdf
"When schools reopened after the Ebola crisis cost nearly an entire 
academic year in Sierra Leone, girls were 16 percentage points less likely to be in school.",9.581378,4.113154,1.405749,2.053211,4.501658,5.316783,2.830394,2.509732,1.86796,6.883863,1.110008,3.087329,1.164435,5.703176,1.034621,23.801539,0.497722,2.858149,1.934676,1.066566,1.793683,3.133557,8.466416,1.421494,0.67015,1.192598,News,Executive-Summary.pdf
"Higher dropout 
will likely be accompanied by increased child labor and child marriage for children and adolescents.",13.417315,3.370887,1.59196,2.967023,2.434239,2.035524,4.384328,1.473736,0.974591,4.962083,1.183032,2.327326,0.471018,1.459089,0.951127,38.764378,0.432086,2.85704,1.130155,2.807595,0.590523,2.780906,3.32448,1.901905,0.675718,0.731934,News,Executive-Summary.pdf
"∞Learning will suffer even more, due to economic pressures on households.",5.133378,2.145448,1.145909,1.512388,4.377678,2.084575,12.37722,1.767123,1.168606,8.695732,1.128262,1.110843,0.649508,1.217746,0.78614,15.320246,0.789501,4.128742,1.279754,1.002812,1.051302,5.807666,22.696168,1.360032,0.83345,0.429769,Sensitive Subjects,Executive-Summary.pdf
"Even for students who do not 
drop out, households will be less able to pay for educational inputs—such as books at home or private 
lessons—until the economy recovers.",15.188749,3.016691,1.158403,1.934433,3.240737,3.670818,7.112504,2.04452,1.993902,8.016898,1.490207,3.175641,0.908028,3.224145,2.42477,15.839156,1.19456,3.284615,1.828489,1.399493,1.786788,2.761446,7.277659,4.502777,0.544223,0.980349,News,Executive-Summary.pdf
"And parents may move their children from private to public schools, 
adding pressure and lowering quality in already over-stretched public-school systems.",17.509549,3.745709,1.040149,1.827807,2.588467,2.427016,3.151612,2.476992,1.340789,5.409566,0.846574,2.17776,1.395456,4.61024,2.118945,17.017017,0.80622,4.855953,2.054623,1.774627,1.047013,2.702245,13.955388,1.876315,0.563067,0.680899,Adult,Executive-Summary.pdf
"∞On the supply side, the economic shock will hit schools and teachers.",5.527709,4.250891,1.16411,1.689972,7.235334,2.108138,8.536393,4.13526,1.062658,6.832922,1.044124,1.488248,0.539115,4.350438,1.111112,26.630446,0.653434,3.650834,1.188104,0.546056,0.985545,4.677931,8.794828,1.11696,0.364157,0.31528,News,Executive-Summary.pdf
"Fiscal pressures will lead to a drop 
in education investments, reducing the resources available to teachers.",8.419099,4.090379,0.673633,1.785888,4.544202,2.33263,6.401312,1.264509,1.3373,3.2521,1.220163,1.944086,1.035278,4.862635,2.045674,36.823031,0.49858,3.09276,2.136429,0.932102,1.364801,3.488307,4.755484,0.950549,0.468909,0.280161,News,Executive-Summary.pdf
"And teaching quality will suffer 
(either online or when schools resume), as the health crisis hits some teachers directly, and as others suffer 
from financial pressures due to salary cuts or payment delays.",8.766344,2.227713,0.585416,1.961287,2.573047,2.270538,3.746864,1.711934,0.73533,8.502114,1.326163,1.053157,1.003454,12.027642,0.894573,12.321564,1.285247,6.098025,1.212908,0.572343,1.284265,1.989835,23.858134,1.070505,0.509488,0.41211,Sensitive Subjects,Executive-Summary.pdf
"The lack of student assessments during the 
closures means that teachers will be flying blind on learning as they try to support their students remotely.",15.021885,5.056289,0.780311,2.434923,2.839078,4.340799,1.893356,1.488192,2.692834,3.60357,2.198773,1.515692,1.239774,16.076423,3.479434,11.580871,1.397036,3.087057,2.372529,0.933486,1.932037,3.264333,8.398909,0.650357,0.640487,1.081567,Jobs and Education,Executive-Summary.pdf
"Finally, the supply of schooling may contract as a lack of revenue forces private schools out of business.",11.633607,3.014067,0.864579,0.994854,12.791038,2.463352,15.477573,4.074607,1.631329,5.014698,0.785264,2.480233,0.981799,4.419592,3.104366,11.927075,0.282569,2.123078,1.284443,0.921652,0.921904,2.243882,7.960521,1.726646,0.512806,0.364466,Finance,Executive-Summary.pdf
"Long-term costs:  Left unchecked, these impacts will exact long-term costs on both students and society.",13.474465,4.93846,1.481296,2.363827,3.999734,2.649238,8.098692,1.872686,1.322496,6.991254,2.129042,1.20612,1.018191,5.478391,1.514143,11.063418,1.35936,5.348236,1.860156,1.183992,2.245281,4.207574,9.636761,1.685716,1.031349,1.840121,Adult,Executive-Summary.pdf
"Given the likely increase in learning poverty, this crisis could prevent a whole generation from realizing their 
true potential.",7.07242,2.058879,0.425498,0.864008,1.995773,0.879015,2.77635,0.987101,1.586793,3.643066,0.85515,0.552321,0.283052,2.543987,1.073819,14.669604,0.952886,4.82701,0.948945,0.293974,0.625405,4.842014,43.8445,0.499443,0.683035,0.215951,Sensitive Subjects,Executive-Summary.pdf
"Students who are forced to drop out of school or experience significant declines in learning will 
face lower lifetime productivity and earnings.",13.469712,2.940076,0.813878,2.477277,2.420876,2.353179,4.682265,1.265819,1.78326,5.997741,1.622025,0.84316,0.813478,8.816892,1.093942,15.497364,0.968755,3.977422,1.729837,0.596098,1.424849,4.501631,17.096025,1.361069,0.67408,0.77929,Sensitive Subjects,Executive-Summary.pdf
"Inequality will rise, because these impacts will likely be greater 
for students from poor and marginalized households.",6.483976,2.629087,0.828861,1.894696,1.673769,1.572691,5.550532,1.008841,0.71031,3.625931,1.244315,0.830593,1.141225,5.12916,0.989195,27.051927,1.091959,16.265275,1.579916,2.191234,0.961976,2.736545,9.283457,1.94258,0.685076,0.896875,News,Executive-Summary.pdf
"The children who need education the most to climb out 
of poverty will be the ones most likely to be deprived of it by the crisis.",5.004921,1.735526,0.507778,0.674958,1.604819,0.959821,1.343808,1.061379,0.745968,3.310537,1.093184,0.781034,0.330968,2.540586,0.848102,12.341114,0.349841,3.064556,0.637778,0.300284,0.662807,2.410963,56.688508,0.39714,0.32844,0.275181,Sensitive Subjects,Executive-Summary.pdf
"This decline in economic prospects 
could lead in turn to increase in criminal activities and risky behaviors.",5.691128,4.321707,1.165613,1.441555,4.629274,1.940367,12.34955,1.701347,2.984084,5.811431,1.038983,0.87267,1.012001,1.608959,1.562769,18.642325,0.609863,3.935871,2.347838,1.407786,0.883773,3.775388,17.034181,1.902687,0.648221,0.680629,News,Executive-Summary.pdf
"Social unrest among youth could also 
rise: in many low- and middle-income countries the combination of a youth bulge and poor prospects could 
prove a combustible mix.",9.32015,3.575769,1.386253,2.025898,2.519476,1.540051,3.270563,1.70316,1.993816,5.393527,1.143194,1.404606,0.840546,0.933842,0.844548,28.126392,1.908298,8.317216,1.98537,0.690626,0.628839,2.321665,16.342751,0.415542,1.02024,0.347662,News,Executive-Summary.pdf
"These adverse impacts may reverberate for a long time, as lower human capital in 
the current student cohort—concentrated among the most disadvantaged—perpetuates the vicious cycle of 
poverty and inequality.",6.506084,3.096761,0.832942,1.886545,2.989045,1.497705,6.607836,1.114055,1.100527,5.331841,1.439696,0.835176,0.540307,3.294329,1.095016,18.355489,0.869151,9.797985,1.718586,0.740229,1.629008,4.249033,22.27051,0.697179,0.819585,0.685381,Sensitive Subjects,Executive-Summary.pdf
"6THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYFrom crisis to opportunity: Stop the damage, then build back 
better
These severe consequences—and especially the long-term impacts—are not inevitable.",7.415687,4.45854,2.276803,2.163323,4.441299,3.39197,1.958594,2.347833,1.728135,8.040917,1.773671,1.193915,0.398881,3.308023,1.938655,16.917312,1.086198,4.832159,1.646676,0.595039,0.944153,3.942646,21.673196,0.303576,0.733246,0.489551,Sensitive Subjects,Executive-Summary.pdf
"There is no doubt 
that there will be significant costs to education, and virtually everything else that societies value, in the short 
term.",5.8871,4.178168,1.15703,1.319102,6.091358,2.688596,12.201133,1.785113,0.919489,4.490986,1.829918,1.810852,1.946404,5.393666,1.912966,15.195348,0.879173,8.62501,2.583737,1.550279,2.7892,4.785828,3.758505,2.236834,1.964432,2.019772,News,Executive-Summary.pdf
"But if countries move quickly to support continued learning, they can at least partially mitigate the 
damage.",5.015966,3.550364,1.499522,3.004532,3.842842,4.214877,2.893167,1.890333,1.454894,10.76798,2.086209,1.010834,0.78071,3.772819,2.964807,18.570536,2.640029,6.977317,3.364569,0.79326,1.139022,3.823064,10.171544,0.923946,1.367415,1.479442,News,Executive-Summary.pdf
"And with the right planning and policies, they can use the crisis as an opportunity to build more 
inclusive, efficient, and resilient education systems.",4.873391,1.529049,0.925643,1.740401,3.250027,2.324602,1.542887,1.73813,0.888888,5.416667,1.90475,1.016638,1.111165,15.523616,3.966819,12.755154,2.05385,7.203806,1.420308,1.031878,1.127164,3.988032,20.931796,0.557259,0.537534,0.640545,Sensitive Subjects,Executive-Summary.pdf
"The policies to turn this around can be grouped in three overlapping phases: Coping, Managing 
Continuity, and Improving and Accelerating learning .",15.385053,2.22554,1.827841,6.469004,2.815155,3.856771,1.671092,2.085768,1.729923,9.022267,5.609288,1.711188,0.660161,9.515618,1.293093,8.124222,2.715857,5.609058,1.431245,1.203241,1.225247,3.278061,7.599907,0.880633,0.722394,1.332374,Adult,Executive-Summary.pdf
"Phase 1: Coping:  For the first phase, as countries cope with sudden school closures, the priority is to 
protect student health and safety and prevent learning loss .",7.647358,3.007452,2.397729,3.516053,2.939788,3.302473,1.138696,1.795596,2.08017,11.563123,2.361136,1.547627,0.361717,5.643828,1.590535,12.102689,1.050378,3.359743,1.147168,0.988857,1.019222,2.026254,25.125763,0.399247,0.649113,1.238284,Sensitive Subjects,Executive-Summary.pdf
"∞In addition to protecting students and families from infection, many countries are putting in place sup-
plemental nutrition or cash transfer programs  to ensure that students who ordinarily depend on school 
feeding programs do not go hungry.",9.450973,1.737947,1.286384,4.892367,6.110834,2.833074,6.673369,7.702706,1.93924,21.411993,1.183526,1.763984,1.360113,1.49117,1.958316,6.339523,1.096716,2.355454,1.81161,0.720354,1.881173,2.332303,8.047794,1.559121,0.583213,1.476739,Health,Executive-Summary.pdf
"∞To prevent learning loss, emergency remote-learning programs  have been deployed across the world, 
from Nigeria to Norway.",5.228908,2.695737,0.903269,3.676129,3.149432,7.199634,1.653556,1.403656,4.579889,6.790521,2.70421,0.907272,4.686012,4.680877,3.013682,9.88256,8.689183,4.301745,1.609002,0.918031,4.037427,2.214735,8.587033,1.332504,1.223941,3.931055,News,Executive-Summary.pdf
"The best use platforms (such as TV, radio, and smartphones) that can reach every 
child, regardless of household income.",8.648263,2.526103,1.253345,2.709088,2.823982,9.352615,1.601471,1.138141,1.328807,6.01609,2.715444,2.944129,20.669581,1.286276,1.2677,4.69682,4.956202,3.190276,0.969695,2.410651,2.510576,1.599945,5.380942,3.616776,0.846145,3.540935,Internet and Telecom,Executive-Summary.pdf
"These inclusive approaches are critical: without explicit policies to 
reach disadvantaged households, only wealthier and more educated families will be able to cope with the 
shock.",9.118077,1.349186,1.000983,1.784454,2.775006,1.362365,2.897783,1.675376,0.579489,6.01129,1.113685,1.068889,0.534371,2.47701,1.451907,14.370885,1.153725,6.697999,1.560294,1.315721,0.803976,3.099571,33.518099,1.065884,0.397977,0.815998,Sensitive Subjects,Executive-Summary.pdf
