Sentence,Accommodation Food Services,Agriculture Forestry Fishing,Arts Entertainment Recreation,Economywide,Educational Services,Health Care Social Assistance,Information Finance Insurance,Manufacturing,Mining Quarrying Oil Gas,Public Administration,Real Estate Rental Leasing,Technical Management Services,Transportation Warehousing,Utilities Construction,WholeSale Retail Trade,Category_Tag,Filename
ISO may revoke this permission at its sole discretion.,5.39355,12.958921,4.192423,13.287121,2.152672,7.140258,5.704872,9.923635,12.103961,3.368604,4.633642,5.232054,6.14851,5.096204,2.663573,Economywide,ISOfocus_143_en.pdf
"For enquiries, please contact copyright@iso.org .",3.785158,7.037181,6.710505,7.053256,4.463523,10.966018,8.144259,7.221811,17.290538,3.036472,4.072334,9.022333,3.755129,3.247016,4.194467,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"This magazine is 
printed on certified 
FSC ® paper.",5.76407,9.125515,4.744534,11.692876,3.506536,12.854362,13.837532,5.313399,4.696471,2.911742,3.390526,11.804802,3.463502,3.706329,3.187806,Information Finance Insurance,ISOfocus_143_en.pdf
"ISO focus
November-December 2020#14322
6 2-3  The new vision of transport
Comment by H. E. Abdullah Al Maeeni.",6.454605,7.663929,2.458746,18.079542,2.469191,9.321841,5.287943,4.156733,8.659064,3.520308,2.599589,5.004356,15.675768,4.271579,4.376806,Economywide,ISOfocus_143_en.pdf
"4-5  Counting down  
to #WorldStandardsDay2020
Let’s build a planet of #sustainablecities.",4.411014,29.95341,2.247503,15.257468,1.366211,4.317296,2.557978,5.888055,16.87631,1.801288,1.525669,3.28396,2.367593,5.167612,2.978631,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"6-13  Mission possible  
for unmanned aircraft systems
Drones: one step closer  
to air traffic management.",3.669927,18.937674,2.584472,7.163546,2.837704,7.085088,4.452066,9.515601,9.201403,2.876883,4.802541,9.155149,10.073707,5.248783,2.395457,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"14-19  Flying into an uncertain future
Aviation’s flight plan to recovery.",5.58439,15.03678,4.575729,16.847508,3.064809,9.744062,4.875025,6.413045,9.63322,2.437983,2.752542,5.385588,6.360632,4.176392,3.112293,Economywide,ISOfocus_143_en.pdf
"22-31  Cybersecurity  
in the driver’s seat
Ways in which your car can be hacked.",4.821339,8.21198,4.324701,10.338385,2.187436,7.89266,11.815245,5.162049,11.399273,3.066544,5.184493,5.457063,10.392805,5.980483,3.765544,Information Finance Insurance,ISOfocus_143_en.pdf
"32-39   Driving the world forward
Why the hybrid car is coming of age.",4.46554,9.411343,5.118719,21.365729,2.200115,7.708672,4.994021,9.166756,9.152787,1.805855,3.416079,3.926264,8.437167,4.920353,3.910601,Economywide,ISOfocus_143_en.pdf
"40-47  Shaping shipping
Digital solutions for connected ports.",3.482521,6.395808,2.203288,4.719307,1.81811,4.360564,5.670975,4.461072,4.758574,2.166602,3.649642,9.92628,33.769002,9.287419,3.330836,Transportation Warehousing,ISOfocus_143_en.pdf
"48-5 5 How to build  
a robust railway
New standards are coming down the track.",3.294271,8.897596,2.765754,12.49046,3.35422,3.488743,3.151365,6.223229,15.897378,2.140414,1.833788,4.978911,15.283534,11.418655,4.781681,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
56-57   Calling ISO 9001 users!,7.36689,9.014842,4.27625,13.259403,2.664058,13.854963,8.451129,6.975244,7.892333,3.177649,3.483011,6.910969,5.068504,4.581054,3.0237,Health Care Social Assistance,ISOfocus_143_en.pdf
"Fifty years and still shining
  Banking on safety
  Groundbreaking PhD wins award
  Rubber stamped
  Virtual session breaks recordsbuzzThe new vision of 
TRANSPORT
We are witnessing the future of transportation 
and mobility unfold before us.",3.119962,5.693544,3.694814,7.705608,5.273008,9.240106,5.355947,4.61411,10.124108,3.51576,3.694296,9.084015,20.886649,4.882961,3.115112,Transportation Warehousing,ISOfocus_143_en.pdf
"Millions of 
hybrid and electric vehicles have been inte -
grated into the fleets of countries, and hydrogen and fuel-
cell vehicles are following suit.",3.810303,7.356503,2.911203,8.239243,1.455069,4.347599,3.619455,8.853877,26.867206,1.399691,3.263359,2.59474,11.47877,10.175968,3.627014,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"AI-driven vehicles are no 
longer a concept preserved for the distant future, and the 
influence of the Internet of Things is already empowering 
huge changes in the transportation sector.",3.112301,3.302826,3.034867,10.680119,2.165054,3.047561,6.40648,8.754,7.386426,1.656067,2.082934,3.01847,34.472984,5.612539,5.267372,Transportation Warehousing,ISOfocus_143_en.pdf
"Even aviation 
and aerospace, relatively young in the history of humanity, 
have seen tremendous development over the past century.",3.038394,14.22191,5.857627,17.939078,4.211324,5.414763,5.132429,9.726504,14.100612,1.893208,2.294596,4.586991,4.190403,4.131591,3.260569,Economywide,ISOfocus_143_en.pdf
"These are only some of the areas in which technological 
advancements of the Fourth Industrial Revolution are 
transforming the transport industry.",2.324769,3.217555,2.537558,20.770566,1.292802,2.038265,2.816199,15.953533,13.756019,1.381553,2.48682,3.168841,15.661375,6.38103,6.213116,Economywide,ISOfocus_143_en.pdf
"In all of its shapes, development leads to new chal -
lenges and opportunities, and our world will have to 
thoroughly prepare itself for the next chapter.",4.011523,13.370419,4.771984,18.653145,8.01983,6.141506,3.806434,7.37192,14.128815,1.507207,1.875506,6.093083,2.975991,2.61036,4.662275,Economywide,ISOfocus_143_en.pdf
"With the 
rise of connected and self-navigating mobility and the 
decentralization of energy production, our transporta -
tion networks are becoming more complex.",3.550905,3.796131,2.054239,8.035082,1.593859,2.805255,4.477535,3.596919,19.047702,1.542112,2.676035,2.067381,32.009968,9.066124,3.680755,Transportation Warehousing,ISOfocus_143_en.pdf
"This unfolds 
against the backdrop of the 21st-century space race, where 
companies are increasingly looking to space as a place 
of business , competing to make space travel easier 
and more affordable.",8.902868,3.768542,6.062817,11.504071,2.159737,3.58722,8.961938,7.748319,13.767515,1.453324,5.939991,4.360588,11.561636,4.301003,5.920432,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Meanwhile, continuous efforts 
to address ongoing transport issues remain equally 
crucial.",3.579775,5.158444,2.067523,11.594316,1.649004,4.293038,3.184354,2.786372,6.481885,2.384965,2.929485,3.653461,41.922634,5.847338,2.467407,Transportation Warehousing,ISOfocus_143_en.pdf
"Globally, transportation was responsible for 
24 % of direct CO 2 emissions from fuel combustion in 2019, 
three-  quarters of which were due to road vehicles alone.",2.525976,4.299191,1.71654,13.020581,1.00649,2.501532,3.129413,3.006554,14.355901,1.255733,1.923044,1.586486,41.172123,5.550383,2.950054,Transportation Warehousing,ISOfocus_143_en.pdf
"A number of scientific reports, one after the other, confirm 
that urgent action is needed on all levels to achieve the 
United Nations’ global sustainability agenda for 2030.",3.679006,27.870603,1.788771,21.056395,1.755572,7.102017,3.726732,4.714194,11.510925,3.88365,1.602581,3.961686,1.651951,3.039331,2.656585,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"It 
is now more obvious than ever that collective, accelerated 
efforts are required for the well-being of the planet, its 
oceans and the lives they host.",5.084181,24.683183,2.239108,20.199977,1.972283,6.21378,2.989518,4.955443,17.810726,2.174378,1.493737,2.950944,2.66957,2.406462,2.15671,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"In this light, the role of International Standards and 
harmonized technical regulations becomes undeniable.",3.733411,9.697889,2.019074,21.55453,4.170509,3.640226,6.234441,13.917361,10.458817,2.478687,1.750167,4.12509,5.089071,6.381858,4.748869,Economywide,ISOfocus_143_en.pdf
"Transportation is vital, and a driver for economic devel -
opment and growth.",1.207577,0.694009,0.551993,3.135992,0.431402,0.604764,0.772543,0.729183,1.846066,0.891849,0.849803,0.757613,84.685925,1.819327,1.021953,Transportation Warehousing,ISOfocus_143_en.pdf
"But as the world urbanizes and 
its energy demands rise, the implementation of smart 
mobility becomes an increasingly prominent necessity.",6.109959,4.088871,2.96489,16.226595,1.610984,4.43279,4.345353,4.559293,18.362549,3.601307,3.199432,2.564304,14.006579,10.990511,2.936582,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The standards community has been diligently supporting 
the shift from conventional forms of mobility into new, 
more integrated forms that are better suited for the future.",8.050233,8.007665,3.219509,11.262164,6.014928,11.145418,6.719803,3.949291,7.130696,4.884228,3.053938,7.091343,5.96844,6.572437,6.929908,Economywide,ISOfocus_143_en.pdf
"In 2020, ISO issued two standards to help the world use 
less energy and reduce the impact of mobility and trans -
port on the environment.",4.465916,7.752781,2.203029,10.655504,1.673052,4.160039,3.71339,6.4322,30.351911,2.54514,2.263314,3.549063,9.227856,8.243405,2.7634,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"ISO 37161 , Smart community 
infrastructures – Guidance on smart transportation for 
energy saving in transportation services , features ener -
gy-saving options to be adopted in transportation and 
their monitoring and maintenance measures.",6.510091,2.547691,1.987055,3.476769,2.37647,4.283988,3.903018,2.20986,9.012144,6.09553,2.900283,3.751008,27.112099,21.95505,1.878943,Transportation Warehousing,ISOfocus_143_en.pdf
"Meanwhile, 
ISO 37162 , Smart community infrastructures – Smart trans -
portation for newly developing areas , plays a key role in 
helping newly developing areas to implement transport 
services that are sustainable and that address the popu -
lation’s needs.",8.483252,4.372741,1.798037,3.788926,3.190838,5.142305,4.880929,2.799974,14.317456,6.336223,4.793169,5.707891,10.083539,22.417689,1.887031,Utilities Construction,ISOfocus_143_en.pdf
"2 | ISOfocus_143H.E. Abdullah Al Maeeni, Director General of the Emirates  
Authority for Standardization and Metrology (ESMA).",4.782303,12.996459,2.169601,12.899824,3.973656,9.403805,7.564866,6.627253,11.191983,5.135178,2.638247,7.73451,5.69586,3.342306,3.844151,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"Transportation is vital, 
and a driver  
for economic 
development 
and growth.",1.616798,1.286864,1.292681,5.325161,0.942011,1.157498,1.392796,1.161585,3.277136,1.223533,1.172081,1.663504,73.445601,3.775097,1.267654,Transportation Warehousing,ISOfocus_143_en.pdf
"Recognizing that the future of mobility will be radi -
cally different from its past, and in efforts to address 
the challenges and opportunities this will bring, 
the Emirates Authority for Standardization and 
Metrology  (ESMA ), the national standards body 
for the United Arab Emirates ( UAE ), launched 
in 2015 the annual International Conference on 
Future Mobility.",5.479014,6.982093,2.115604,12.777991,4.377478,9.142827,8.188524,6.568743,10.347847,3.365068,2.579324,7.522708,11.158152,4.967842,4.426787,Economywide,ISOfocus_143_en.pdf
"The conference covers various 
themes, from innovation in smart, clean and 
connected mobility to mobility ecosystems for a 
sustainable future, and has undoubtedly become 
the region’s most eminent annual gathering of 
influential leaders in the field.",7.644388,10.256951,6.174004,6.710165,4.776123,6.981966,8.706305,3.688096,14.14672,6.384519,2.030982,9.280176,2.493111,7.848144,2.878351,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"ESMA  has also 
introduced the Arab world’s first electric vehicle 
control scheme, which has since been adopted by 
other countries on the Gulf Cooperation Council.",4.33083,9.393715,2.783919,15.128929,2.738737,6.983114,8.544828,6.560414,11.766191,3.28961,3.307889,9.141038,5.583499,7.208167,3.23912,Economywide,ISOfocus_143_en.pdf
"We have, in addition to that, developed the first 
technical regulation for hydrogen and fuel-cell 
vehicles in the Middle East and North Africa region.",3.148379,7.773058,1.536957,7.801888,1.593795,4.725173,3.466408,14.009261,32.354358,1.479075,2.086014,2.882471,7.653563,6.148736,3.340865,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"All these initiatives stem from the UAE ’s resolve to 
shift to low-emission vehicles.",5.700909,11.605116,2.185054,14.854627,1.723813,5.099041,4.9043,10.038945,19.709378,1.83555,3.584735,4.656585,6.26626,3.948095,3.887592,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The government, 
for instance, inaugurated and implemented the 
UAE  National Smart Mobility Strategy, National 
Cybersecurity Strategy, and the UAE  Strategy 
for Artificial Intelligence, all of which actively 
contribute to a sustainable transportation infra -
structure.",4.762441,5.079683,1.558895,18.732406,3.066014,4.324075,10.995091,7.123306,8.844256,7.556948,2.594085,7.8104,7.385462,7.340348,2.82659,Economywide,ISOfocus_143_en.pdf
"Among other incentives, many of the 
country’s organizations offer priority parking to 
low-emission vehicles and waive corresponding 
parking fees.",9.395948,6.342278,2.480873,9.393531,1.453217,5.103635,4.175048,4.772245,25.769582,3.977592,5.630317,2.969366,8.24571,6.20298,4.087675,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"In the Emirate of Dubai, Salik (Dubai’s 
automatic road-toll collection system) tags are 
granted for electric vehicles.",5.790836,8.788458,3.288134,10.252262,2.622811,5.082985,5.719043,7.272163,10.976909,3.118805,5.747509,6.114405,10.614128,8.737298,5.874255,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Most prominently, 
the Emirate has been offering free charging for 
non-commercial electric vehicles since 2017, and 
will continue to do so until the end of 2021.",4.299196,11.255365,3.270997,21.426712,2.317805,5.266609,6.249608,6.890715,11.525,2.385448,2.762228,4.021758,4.992911,8.338755,4.996893,Economywide,ISOfocus_143_en.pdf
Innovation is without doubt an enabler of mobility.,3.590601,5.227216,2.807043,19.21072,2.503052,3.874594,5.567102,15.246604,7.062829,1.610029,2.762116,4.327311,15.934757,5.464326,4.811699,Economywide,ISOfocus_143_en.pdf
"Paired with technological advancements, it can 
bring forth a new era of innovation and change in 
transportation.",2.685305,3.082918,3.246355,31.709555,1.797443,2.468516,3.899636,10.112492,5.615796,1.539445,1.780734,2.903799,19.936129,3.801435,5.420439,Economywide,ISOfocus_143_en.pdf
"From road vehicles to aerospace 
systems, ISO has long played a harmonizing role, 
publishing standards in all aspects of transpor -
tation to ensure safe and efficient mobility.",3.776618,4.307037,2.0449,5.124036,2.135788,4.738705,4.582806,11.398787,13.32412,2.293103,3.394479,4.949827,28.084527,6.961783,2.883484,Transportation Warehousing,ISOfocus_143_en.pdf
"Going 
forward, achieving the increasingly dynamic and 
interconnected global priorities, and allowing 
for innovation and development in the design, 
construction and use of vehicles, calls for 
worldwide efforts.",3.795549,11.065539,2.377999,13.881411,3.256891,3.804963,4.042892,19.287422,12.477962,1.535382,2.599526,8.054852,5.176918,5.001958,3.640737,Manufacturing,ISOfocus_143_en.pdf
"At ESMA , we look forward to 
supporting a safe and sustainable transportation 
sector that combines experience from the past with 
a fresh, new outlook on how we can transform the 
way we travel for the better.",5.149946,5.109821,2.464804,9.572785,3.225419,9.789515,7.862131,3.09771,8.468985,3.728257,2.111401,8.462529,21.990348,6.223472,2.74288,Transportation Warehousing,ISOfocus_143_en.pdf
"■Photo: ESMA
ISOfocus_143 | 3In line with this year’s World Standards Day 
theme of “ Protecting the Planet ”, we launched 
an ISO global campaign on #sustainablecities  
to count down to 14 October.",4.696636,12.633767,3.156435,19.049061,2.688527,6.605027,5.14876,5.613944,19.901156,3.127304,1.962222,4.992206,2.991348,4.565503,2.868103,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Counting down to... 
#WorldStandardsDay2020
4 | ISOfocus_143social feed TWITTER FACEBOOK Youtube Flickr linkedinCounting down to... 
#WorldStandardsDay20202020 has been a year of adversity: the #covid19  
pandemic has shaken us to our core.",4.705154,16.102662,3.000017,22.425162,3.56938,16.889273,3.877747,3.677652,8.077736,2.563481,1.471808,4.372788,2.257308,4.069499,2.940332,Economywide,ISOfocus_143_en.pdf
"Before us is the 
challenge to rebuild our economies and safeguard life 
while preserving our planet for generations to come.",2.240791,16.573536,1.972595,25.334147,1.412182,5.410178,2.673537,7.763291,25.02111,1.618883,1.457178,1.787393,1.67371,2.664636,2.396831,Economywide,ISOfocus_143_en.pdf
"Numerous opportunities for sustainability and resil -
ience are presented as cities face overpopulation and 
pressure points surrounding transport, sanitation, 
energy, food and security.",13.21072,6.172613,2.320408,9.345357,1.076522,2.830068,3.342102,2.994008,26.734106,2.814248,3.101428,1.92265,4.875389,13.805971,5.454411,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Inspired by this global challenge, we started counting 
down to World Standards Day one hundred days before, 
with a weekly post on how standards can help create 
#sustainablecities  to protect the planet, support the 
economy and improve quality of life.",5.533893,22.578701,2.020555,17.358984,2.428396,7.068097,3.794779,7.822167,10.864448,2.835913,1.162564,5.999834,2.187766,3.389631,4.954272,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"isostandards
ISOfocus_143 | 5Mission possible  
for unmanned 
aircraft systems
by Ann Brady
During the COVID-19 pandemic, air drones or 
unmanned aircraft systems have played vital 
roles, from delivering aid to monitoring social 
distancing.",4.093857,18.845952,1.817073,7.145274,4.501222,11.227916,5.610755,6.878388,10.729851,5.218143,3.285685,7.204859,5.220896,6.32129,1.898839,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"However, issues such as safety, 
security and the sharing of airspace have 
continued to delay their full commercial use.",6.423063,6.391635,2.766684,9.534974,1.412347,3.872111,10.008637,8.86303,11.213994,2.147238,3.891253,5.225774,15.946227,4.727591,7.575443,Transportation Warehousing,ISOfocus_143_en.pdf
"Unmanned aircraft systems ( UAS ) have 
undoubtably become the technology 
of the moment which, from humble 
beginnings, is set to create an industry to 
rival the automotive and aviation industries 
combined.",2.964608,9.9455,3.378969,7.166987,3.435437,6.67995,7.17979,19.898401,11.207027,2.039852,2.977546,10.288538,5.695539,4.245287,2.896569,Manufacturing,ISOfocus_143_en.pdf
"UAS  gained notoriety as toys, 
but have quickly evolved into the basis for 
a high-value, rapid-growth industry span -
ning almost all sectors, including logistics, 
medical, surveying, security and transport, 
and are being used in almost every environ -
ment on the planet.",3.409586,4.335414,3.264377,4.421199,2.56467,5.413834,14.695619,12.361246,11.889789,1.914503,2.821411,11.661011,9.140234,3.705085,8.402022,Information Finance Insurance,ISOfocus_143_en.pdf
"UAS , which can be remotely controlled, 
but are increasingly being equipped with 
autonomous capabilities, have been around 
for a long time.",3.977811,10.852342,2.875634,6.691687,4.594048,12.059549,8.907438,5.564919,9.351089,3.517228,4.347123,10.05311,7.638258,6.733449,2.836315,Health Care Social Assistance,ISOfocus_143_en.pdf
"It has only been in the past 
five years that the technology to make them 
commercially viable tools in a huge range of 
applications has become affordable.",3.084573,5.908454,2.405855,10.781699,3.822111,3.964487,6.513709,17.013602,18.225473,1.823341,2.074009,6.409169,4.312608,5.212772,8.448139,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Initially 
small, a drive to wide-scale commercializa -
tion has seen the design of larger and more 
sophisticated UAS  capable of the movement 
of cargo and, in the future, people.",5.6678,3.725771,3.323173,4.589494,1.973465,6.228176,4.947066,11.312867,11.969432,1.348269,3.12302,9.054624,22.498488,2.726377,7.511979,Transportation Warehousing,ISOfocus_143_en.pdf
"It is here 
that widescale commercial use is more likely 
to flourish into a global industry rather than 
through lots of small UAS  to carry small items.",5.945808,2.49071,2.334177,5.805993,0.805013,1.272863,4.725907,14.605535,10.129219,0.643984,1.319227,2.936885,5.745055,1.495045,39.744579,WholeSale Retail Trade,ISOfocus_143_en.pdf
"UAS gained notoriety 
as toys but have quickly 
evolved into the basis 
for a high-value,  
rapid-growth industry.",3.123636,5.23383,4.743298,8.409741,2.418101,3.46802,10.663944,21.02904,9.011416,1.44805,2.614596,11.704079,3.495601,2.490254,10.146397,Manufacturing,ISOfocus_143_en.pdf
"Delivering lifestyle improvements 
to people in remote areas.",27.837903,10.004654,7.559113,7.2955,2.633951,15.921752,2.733748,2.143904,6.691751,1.8571,2.593222,3.912664,3.010434,2.502574,3.30173,Accommodation Food Services,ISOfocus_143_en.pdf
"8 | ISOfocus_143Air drones for good
UAS  have been used in support of humani -
tarian missions and by first responders in many 
emergencies.",5.017896,13.90902,3.208705,6.456338,4.519171,18.252981,6.570293,6.453657,9.599975,3.30217,3.214042,8.129731,5.234616,4.581855,1.54955,Health Care Social Assistance,ISOfocus_143_en.pdf
"They played a significant role in 
helping to save the structure of Notre-Dame 
cathedral in Paris when it was ravaged by fire 
in 2019.",6.575812,11.993492,5.178257,16.575124,2.409635,9.623746,6.958958,4.41004,11.558258,3.507149,6.600365,4.497032,1.85659,6.82454,1.431002,Economywide,ISOfocus_143_en.pdf
"According to Asia Times , UAS  were 
deployed to map the ground damage and rubble 
when the roof was in danger of collapsing, 
saving photographers from taking unnecessary 
risks.",3.144072,11.275762,3.108057,8.519348,1.725287,7.685563,5.131446,6.330977,23.86518,2.083949,6.228612,5.139882,3.886309,10.315449,1.560108,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The same article points to their ability to 
conduct aerial mapping for wildfire response, 
sparing firefighters.",3.026149,23.550474,3.31442,12.45702,2.43964,11.370562,7.000434,2.593649,13.472292,3.355519,3.113388,5.359188,2.994727,4.179824,1.772715,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"UAS have also proved an important humanitarian 
tool, supplying blood and essential medicines to 
remote clinics in such countries as Rwanda.",3.622688,6.824593,1.87857,5.410535,2.854261,46.948716,4.221408,2.829768,9.070163,2.274184,2.103389,6.819876,1.552932,2.217232,1.371684,Health Care Social Assistance,ISOfocus_143_en.pdf
"This 
has become even more vital during the COVID -19 
pandemic.",4.106124,13.2879,2.5394,32.902836,2.134565,11.101942,5.0261,4.638468,8.568707,2.097835,2.03402,3.201147,2.276104,4.058673,2.026177,Economywide,ISOfocus_143_en.pdf
"According to a World Economic 
Forum Agenda blog , the US medical drone company Zipline  is now using its deliveries to 
support the coronavirus fight in Africa and is also 
helping other countries in their response efforts 
to COVID -19. “",4.270427,14.977557,2.355913,8.669951,3.353955,16.032685,7.674059,6.871104,8.391316,1.583578,3.657056,9.493864,4.685552,5.868239,2.114743,Health Care Social Assistance,ISOfocus_143_en.pdf
"We are stocking a whole bunch of 
COVID -19 products and delivering them to hospi -
tals and health facilities whenever they need 
them instantly, ” Zipline’s Chief Executive, Keller 
Rinaudo, told CNN  Business .",5.910817,10.321324,1.867181,7.578827,2.64549,13.629991,9.435938,11.720207,7.304781,1.361744,2.974972,5.869612,6.470367,5.3025,7.60625,Health Care Social Assistance,ISOfocus_143_en.pdf
"By 2025, it is estimated that the UAS  market  
will be worth more than USD  5 billion.",3.767476,7.120768,2.627126,24.744561,2.157004,3.655274,15.226629,6.794755,7.156361,1.676312,4.795869,7.978945,3.012957,3.257989,6.027975,Economywide,ISOfocus_143_en.pdf
"For 
businesses and other organizations, UAS  can 
only enhance their productivity.",3.739688,8.318596,3.117689,10.641105,2.62387,4.154611,4.657274,12.438581,16.817585,2.215396,2.41218,16.689913,3.014264,5.222717,3.936532,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"They are not 
only small and agile but they tick the “ green ” 
box as well.",4.091146,16.924226,3.514265,9.663709,3.579803,5.486371,4.654241,8.455814,16.436556,1.62743,2.118124,5.655229,5.828914,6.170968,5.793204,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"A report in the Smithsonian 
Magazine suggests that, in terms of green -
house gas emissions, package delivery by 
small UAS  can be better for the environment 
than delivery by trucks.",4.279651,11.26886,1.26251,7.099207,1.467016,4.229443,2.716798,4.909453,31.297771,2.26711,3.410403,4.72258,8.102127,9.259752,3.707318,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
Drones helped survey the damage after the Notre-Dame de Paris fire in 2019.,3.389711,12.509879,4.379399,17.0091,2.78555,8.200366,5.765063,6.226403,15.521543,2.18754,3.922492,4.952854,2.762698,8.762124,1.625278,Economywide,ISOfocus_143_en.pdf
ISOfocus_143 | 9So what’s stopping us?,3.947787,13.447925,3.053729,17.3901,2.605146,11.052254,4.401839,6.906442,17.294554,2.326075,1.962539,3.765183,4.993455,3.872424,2.980549,Economywide,ISOfocus_143_en.pdf
"Despite all these obvious benefits, there are obstacles to be addressed, such as safety, security and 
privacy which, according to Robert Garbett, Chief Executive of Drone Major Group, “ is not achievable 
without robust safety and quality standards upon which the industry can grow safely ”.",2.526606,9.140162,1.876951,4.275783,2.067775,4.727795,5.384227,14.390301,33.404158,2.199048,1.976905,5.700038,3.250371,6.55595,2.52393,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
