Sentence,Accountants,Artists,Books and Literature,Business Owners,Charitable Trusts and NGOs,Consumer Services,Counselors,Doctors,Estate Agents,Family Offices,Financial Advisors,Franchise Operations,Goods Suppliers,Governments,Hospitals,Independent Consultants,Individuals,Intergovernmental and Regulators,International Institutions,Lawyers,Manufacturers,Multi Nationals,Municipalities and Cities,Online Re-Sellers,Organizations,Parents,Philanthropies and Foundations,Politicians,Private Corporations,Professionals,Public Companies,Regional Governments,Restaurants,Retail Shops,Seniors,Service Vendors,Singles,Sports Persons,Students,Universities,Category_Tag,Filename
"The school closings shock will lead to 
learning loss, increased dropouts, and higher inequality; the economic shock will exacerbate the damage, by 
depressing education demand and supply as it harms households; and together, they will exact long-run costs 
on human capital accumulation, development prospects, and welfare.",1.327226,1.633898,14.006038,0.588018,5.131286,8.087037,2.574832,0.464554,0.433966,1.225384,3.233995,1.738225,0.465886,3.236668,1.893868,0.539879,6.212414,1.25107,3.226031,0.863096,1.58928,0.723614,1.60949,0.788921,7.010199,3.389576,4.602367,1.33394,0.562975,0.859831,1.245562,1.47868,0.495849,0.825572,0.720872,1.428489,0.686007,0.788711,9.560393,2.166298,Books and Literature,Executive-Summary.pdf
"Figure 1.1: Shocks to education
School
closures
Economic
crisis
Long-run
costsDirect 
education 
costs
Health 
and safety 
impacts
Education 
demand 
side
Education 
supply side• Learning stalls
• Learning inequality increases
• Attachment to schooling falls
• Student nutrition worsens
• Student mental health declines
• Student vulnerability increases
• Dropout rate increases, especially for disadvantaged
• Child labor, child marriage, transactional sex increase
• Education investment by parents declines
• Government spending on education falls
• Quality of education declines
• Teaching quality declines
• Private schools close
• Learning Poverty Increases
• Human capital declines
• Overall poverty increases (due to dropout)
• Inequality increases
• Social unrest increases
• Intergenerational cycle of poverty and low human capital is reinforcedPHOTO BY: © AISHA FAQUIR/WORLD BANK
5EXECUTIVE SUMMARY THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES School closures:  As of late April, schools have closed in 180 countries, and 85% of students worldwide are 
out of school.4 Without aggressive policy action, this will have immediate costs on both learning and health 
of children and youth: 
 ∞Learning will decline and dropouts will increase, especially among the most disadvantaged.",1.519723,1.659872,8.494532,0.665281,3.870696,8.78966,2.625218,0.499336,0.42616,1.209667,2.409719,2.080351,0.829108,4.415458,1.981409,0.940146,5.465937,2.533074,2.989159,0.924511,2.589927,0.91686,2.63143,1.073738,6.581192,3.621976,3.197938,1.627121,0.840505,1.21207,1.286446,2.301547,0.870642,1.120951,1.168803,1.926566,0.954555,0.717321,9.211467,1.819931,Students,Executive-Summary.pdf
"Students 
will largely stop learning academic subjects, and the decline may be greater for preschool-age children, 
whose families are less likely to prioritize their learning during school closures.",0.625314,1.323459,9.496172,0.668977,3.271302,8.066164,1.752562,0.521143,0.316492,0.960448,1.47694,0.908084,0.700946,1.992378,1.926995,0.59278,3.610348,0.839669,1.235186,0.678553,2.120791,0.4016,2.49067,0.52635,3.142336,12.080339,2.292492,0.996833,0.790287,1.104273,1.927843,1.921672,0.536669,1.332956,2.105149,1.252095,0.806125,0.75195,15.74677,6.708891,Students,Executive-Summary.pdf
"Learning inequality will 
increase, because only students from wealthier and more educated families will have the support to learn at 
home.",1.172647,1.413592,2.324525,0.615696,10.183785,4.135335,1.620276,0.484988,0.627047,3.585591,3.461009,1.207069,0.696861,9.392234,1.234772,1.092026,5.342278,1.473947,1.822192,0.850307,1.145242,0.525279,2.3163,0.926298,3.556379,7.506019,7.45238,2.534783,0.882638,0.935232,0.659049,2.48771,0.594921,0.804648,1.8234,1.245267,1.621787,0.82711,6.954693,2.464687,Charitable Trusts and NGOs,Executive-Summary.pdf
"Finally, dropout risk will rise, as the lack of encouragement from teachers reduces the attachment 
to schooling for marginal students.",1.306571,1.260181,6.638363,0.453186,7.089391,7.762991,5.04571,0.445201,0.528483,1.381218,4.171237,1.228176,0.917411,2.642738,1.692485,1.428792,3.751396,1.243922,2.122746,1.276738,1.805184,0.584367,2.024881,1.013215,4.410014,5.157284,6.186257,2.266097,0.701301,1.019388,1.217869,1.9086,0.454035,0.844694,0.997482,1.556633,1.357535,1.609331,9.99169,2.507208,Students,Executive-Summary.pdf
"∞Health and safety will also suffer, without the support and structure that schools provide.",0.849967,0.755747,4.864929,0.602016,11.671125,5.81781,2.278933,1.028215,0.211554,1.648056,1.531419,2.126781,1.407233,2.729754,8.623255,1.613615,2.418176,2.9049,5.404773,0.770562,3.233059,0.963344,2.438069,0.365646,7.817305,2.773749,5.679236,1.517109,1.414157,0.702594,1.723115,2.014706,0.567997,0.771598,1.275777,2.334358,0.656608,0.608455,2.344156,1.540142,Charitable Trusts and NGOs,Executive-Summary.pdf
"Student nu -
trition and physical health will be compromised, because some 368 million children worldwide rely on 
school feeding programs.",0.859492,1.328214,5.092409,0.516588,5.861721,5.131375,2.42207,0.93054,0.21452,0.820796,1.558563,2.033202,1.349471,6.393425,3.326156,0.744546,5.283781,3.089775,4.514195,0.575935,3.567759,0.811681,2.411425,0.838988,4.748269,2.897923,3.9869,1.683801,0.526609,1.074679,2.741409,2.896218,0.956685,0.659566,1.236698,1.673337,0.64757,0.918403,12.214035,1.461271,Students,Executive-Summary.pdf
"Students’ mental health may also suffer, due to isolation during social distancing 
and the traumatic effects of the crisis on families.",0.709983,1.190292,9.615542,0.637859,4.120207,3.203205,15.264254,0.922484,0.230872,1.085261,1.457111,0.933269,0.316871,0.806804,3.765205,0.971348,4.317969,1.250071,1.847034,0.942143,0.888561,0.50036,1.363444,0.351715,4.588857,5.501077,3.289252,1.440576,1.245562,1.031019,0.888562,0.699832,0.7764,0.449993,1.785627,0.682146,4.659218,0.582902,12.859618,2.827494,Counselors,Executive-Summary.pdf
"Youth out of school may engage in more risky behavior, 
and adolescent fertility may increase.",1.185395,1.226749,10.502215,0.571862,3.136079,3.797515,2.997191,0.478377,0.443915,2.118309,3.704419,1.925762,0.69789,3.868552,1.781019,0.793581,5.808595,1.345502,1.775902,1.312609,2.683995,0.5566,3.627521,0.79263,3.157712,8.960011,3.575899,1.578891,0.711612,1.21632,1.227651,1.854382,0.670247,0.599118,1.080218,1.012696,3.517078,1.249045,10.342469,2.114468,Books and Literature,Executive-Summary.pdf
"Economic shock:   The IMF projects that the global economy will shrink 3 percent in 2020, a much bigger 
drop than during the global financial crisis of 2008-09.5 This shock will have severe consequences for both 
governments and households, and it will hit both the demand for and supply of education:
 ∞Student dropout will rise,  with many students leaving schooling forever, and the higher dropout will be 
concentrated in disadvantaged groups.",1.553784,1.67146,7.02127,0.534707,4.543444,4.893334,2.521027,0.584189,0.393025,1.514516,3.208496,1.155382,0.78791,5.693325,2.358591,0.78234,4.543967,2.274272,9.346651,0.690617,2.457839,2.62993,1.632418,0.789621,8.571694,1.871078,4.375292,1.319811,0.841694,1.474631,2.565151,2.947383,0.507809,0.748715,0.876733,1.096999,0.859747,1.027532,4.76129,2.572326,International Institutions,Executive-Summary.pdf
"When schools reopened after the Ebola crisis cost nearly an entire 
academic year in Sierra Leone, girls were 16 percentage points less likely to be in school.",0.55909,1.211778,7.086815,0.527226,7.276605,5.322116,1.233231,0.531947,0.258916,0.885268,0.570626,2.467389,1.200514,3.944205,3.56832,0.434268,7.781723,1.561688,4.177133,0.246924,2.707785,0.913884,1.911769,0.944715,5.313038,4.887503,3.050308,0.906918,0.876495,0.607291,2.514403,2.080843,0.801231,0.920637,0.921105,1.066821,0.727238,0.518399,15.268871,2.214962,Students,Executive-Summary.pdf
"Higher dropout 
will likely be accompanied by increased child labor and child marriage for children and adolescents.",1.657129,1.872898,4.573786,0.628022,3.551883,6.573066,2.949059,0.61437,0.919653,8.116719,4.97275,1.202152,1.06686,7.000269,1.797302,0.914429,3.853781,1.073789,1.864817,1.727635,2.719022,0.52349,2.293603,0.940076,2.62857,10.50142,4.766779,3.204866,0.389062,1.528017,1.296749,2.286794,0.652678,0.861382,0.745147,1.484126,1.660839,1.281112,2.303076,1.002823,Parents,Executive-Summary.pdf
"∞Learning will suffer even more, due to economic pressures on households.",2.899821,2.004548,10.115676,0.64972,2.78419,7.044968,3.873367,0.758753,0.556229,4.869301,5.835713,2.457358,1.169744,5.303245,1.417751,1.289543,6.775527,1.820185,2.482149,1.300509,2.474956,1.226766,2.131093,1.319296,3.262509,4.28122,2.558005,1.987868,0.906315,1.358816,1.687291,1.991229,0.659056,1.088234,1.130745,2.393986,1.013383,0.872825,1.304481,0.943629,Books and Literature,Executive-Summary.pdf
"Even for students who do not 
drop out, households will be less able to pay for educational inputs—such as books at home or private 
lessons—until the economy recovers.",1.522798,1.113409,7.237125,0.375008,7.06901,11.468985,1.953789,0.402527,0.463042,2.241241,3.234703,1.298005,1.048896,3.002512,1.557423,1.006424,2.825587,1.533085,2.020393,1.035145,2.181697,0.457886,2.026377,1.217458,3.047765,4.937116,5.519456,1.589822,1.132886,0.617687,1.564599,1.82946,0.916955,1.722429,3.134524,1.650446,0.826916,0.783742,9.291646,3.142025,Consumer Services,Executive-Summary.pdf
"And parents may move their children from private to public schools, 
adding pressure and lowering quality in already over-stretched public-school systems.",0.588072,0.919338,3.882319,0.766669,5.30814,4.183716,1.272975,0.371214,0.723852,2.890851,1.198782,1.536531,0.9418,10.209983,2.700536,0.972042,3.596535,1.19975,1.187826,0.866077,1.695814,0.540105,6.456591,0.641972,3.399349,12.928853,4.33607,2.818981,3.865912,0.959106,2.093049,3.457958,0.68596,1.042655,1.022859,1.834484,0.816282,0.539121,2.979287,2.568586,Parents,Executive-Summary.pdf
"∞On the supply side, the economic shock will hit schools and teachers.",1.690302,2.20088,21.944188,0.550559,2.340947,7.644583,2.178149,0.642071,0.237476,1.315437,2.940234,2.934214,0.803191,2.963393,1.973434,0.791048,4.173517,1.218163,2.845255,0.563117,2.310483,0.830383,1.46646,0.826157,4.71518,5.162931,1.846993,1.161075,0.476062,1.03643,1.540451,1.450682,0.839466,0.896287,0.664191,1.686523,0.58175,0.564334,8.325202,1.668803,Books and Literature,Executive-Summary.pdf
"Fiscal pressures will lead to a drop 
in education investments, reducing the resources available to teachers.",1.718092,1.304441,6.882053,0.554456,4.332905,7.230088,1.830161,0.559418,0.634874,1.791917,3.675319,0.534922,0.681095,10.84735,1.413894,1.254209,3.81075,0.891908,1.488033,1.087439,1.296589,0.536298,2.841601,0.300617,4.775809,8.769456,4.251222,1.822271,1.144187,1.44327,1.98634,2.96731,0.403025,0.663811,1.212787,1.131804,0.639313,1.08995,6.6849,3.516113,Governments,Executive-Summary.pdf
"And teaching quality will suffer 
(either online or when schools resume), as the health crisis hits some teachers directly, and as others suffer 
from financial pressures due to salary cuts or payment delays.",1.868615,1.134325,4.717013,0.916018,4.169638,12.023043,3.142726,1.078035,0.398655,1.375434,2.641692,1.650004,0.685275,2.532394,4.623012,0.965057,6.422197,1.243492,1.323037,0.99071,1.379332,0.57898,1.968481,0.818007,4.345012,5.073647,3.141021,1.819051,0.599361,1.790635,1.445182,1.451259,0.934637,0.981563,1.71381,2.507456,0.675902,0.740631,12.57891,1.556753,Students,Executive-Summary.pdf
"The lack of student assessments during the 
closures means that teachers will be flying blind on learning as they try to support their students remotely.",1.905686,2.53139,9.539544,0.89786,1.852549,8.478797,4.224729,1.320124,0.441406,0.8558,2.715201,1.333632,0.769422,1.256241,3.24463,1.731302,4.00101,1.177245,2.446316,0.772185,1.95879,0.799857,1.550047,0.529462,2.734011,4.958208,1.166871,1.243285,1.228266,2.001816,1.873499,1.038879,0.764445,0.736653,2.818336,2.352993,0.969358,1.562381,14.333738,3.884035,Students,Executive-Summary.pdf
"Finally, the supply of schooling may contract as a lack of revenue forces private schools out of business.",1.452526,0.828691,6.90535,0.891757,4.008855,5.176004,1.155622,0.317791,0.416689,1.636831,1.50247,2.207552,1.78902,6.632805,1.745656,1.250352,3.54335,1.473308,2.535818,0.887461,2.677177,1.235195,3.050032,0.623231,5.077605,3.959826,3.872751,1.483301,8.958591,0.784402,4.033448,3.05752,0.858253,0.992682,1.016894,2.080872,0.667729,0.556619,4.987548,3.668414,Private Corporations,Executive-Summary.pdf
"Long-term costs:  Left unchecked, these impacts will exact long-term costs on both students and society.",1.333311,1.72445,5.228751,0.353235,4.60806,3.947898,1.775435,0.387401,0.472698,1.010063,2.905072,1.734706,0.965718,1.956114,1.518056,0.75242,3.49129,2.146535,2.520251,0.918641,3.018348,1.024217,1.380814,1.435959,4.608989,2.082192,3.356863,1.285632,0.446477,1.104527,1.420525,1.849682,0.611429,1.23339,2.028551,1.353814,0.60567,0.900593,28.341174,2.161047,Students,Executive-Summary.pdf
